mode,age_group,block_precision,block_recall,false_block_rate,false_allow_rate,protection_precision,protection_rate
text,0_4,0.8866666666666667,0.6282475200755786,0.7053941908713693,0.009919697685403874,0.7835514018691588,0.9900803023145961
text,5_8,0.9042372881355932,0.5040151157298063,0.5594059405940595,0.01653282947567312,0.7877412031782066,0.9834671705243269
text,9_12,0.9322033898305084,0.3637222484648087,0.32,0.03164855928200284,0.7942657884540876,0.9683514407179972
image,0_4,1.0,0.0033065658951346244,0.0,0.7897968823807274,0.9309623430962343,0.21020311761927254
image,5_8,1.0,0.000944733112895607,0.0,0.8294756731223429,0.9575596816976127,0.17052432687765706
image,9_12,0.0,0.0,0.0,0.8587623996221068,0.9707792207792207,0.14123760037789324
multimodal,0_4,0.8927664974619289,0.6646197449220596,0.6035714285714285,0.03212092583845064,0.7917310664605873,0.9678790741615494
multimodal,5_8,0.9190705128205128,0.5418044402456306,0.4334763948497854,0.0406235238545111,0.7967830521773245,0.9593764761454889
multimodal,9_12,0.9337209302325581,0.3793103448275862,0.25333333333333335,0.05762871988663203,0.8054097698829229,0.942371280113368
